Total,Answered,Expired,%Expired,MRT,MRT1,MRT2,MRT3,MRT4,#Runs
40,31,9,22.5,8.71,6.75,8.82,11.09,9.56,50
39,20,19,48.72,12.09,13.73,10.85,12.97,8.9,50
43,31,12,27.91,10.22,8.43,11.95,10.98,12.31,50
39,32,7,17.95,10.52,7.68,13.54,11.4,7.83,50
36,27,9,25.0,11.39,10.63,12.21,11.37,12.86,50
45,33,12,26.67,11.7,10.34,12.06,14.71,7.01,50
37,22,15,40.54,11.24,10.05,11.31,12.43,13.06,50
39,33,6,15.38,9.53,7.24,8.92,14.5,13.33,50
41,27,14,34.15,11.33,9.27,13.06,11.62,11.57,50
37,31,6,16.22,11.19,10.72,11.11,12.94,6.54,50
40,24,16,40.0,9.53,8.26,10.19,8.55,14.8,50
49,30,19,38.78,10.88,9.94,11.77,13.77,10.03,50
28,26,2,7.14,9.29,7.86,12.01,9.22,8.68,50
36,29,7,19.44,9.41,9.71,9.3,10.24,7.91,50
45,33,12,26.67,9.5,8.4,10.97,9.43,10.1,50
42,35,7,16.67,10.56,8.58,10.56,11.39,14.69,50
44,29,15,34.09,12.43,12.4,10.96,12.77,14.51,50
37,28,9,24.32,11.2,10.17,12.26,8.11,13.4,50
37,30,7,18.92,11.36,7.91,12.54,12.09,13.66,50
33,26,7,21.21,10.2,7.97,11.66,14.05,7.77,50
38,29,9,23.68,9.01,8.08,10.16,5.73,10.74,50
35,28,7,20.0,9.63,5.73,11.8,9.72,9.3,50
33,26,7,21.21,11.02,7.88,10.61,14.31,13.43,50
40,29,11,27.5,10.35,9.67,10.69,10.41,11.02,50
40,31,9,22.5,11.27,12.1,8.45,12.94,12.37,50
31,23,8,25.81,9.49,8.72,9.3,10.92,7.58,50
39,30,9,23.08,9.02,7.75,10.45,8.28,9.6,50
40,33,7,17.5,10.98,10.42,9.2,13.33,12.43,50
44,28,16,36.36,9.79,9.77,11.03,6.45,12.84,50
39,26,13,33.33,9.14,6.88,9.12,12.29,13.28,50
48,39,9,18.75,9.91,7.93,11.11,11.1,11.43,50
49,28,21,42.86,9.38,10.25,9.2,7.98,9.07,50
48,33,15,31.25,10.28,8.9,11.25,13.01,9.3,50
38,30,8,21.05,9.95,8.94,8.62,11.28,9.72,50
50,33,17,34.0,10.83,9.09,11.86,10.27,28.33,50
41,33,8,19.51,9.35,7.9,10.06,11.72,9.56,50
38,32,6,15.79,9.91,8.07,10.42,10.86,11.27,50
47,30,17,36.17,9.21,8.86,11.12,8.45,5.53,50
42,33,9,21.43,9.87,9.21,10.24,10.76,8.24,50
35,20,15,42.86,11.31,12.37,11.85,10.43,8.51,50
37,29,8,21.62,10.69,9.27,11.81,8.79,12.56,50
45,26,19,42.22,9.84,8.39,11.86,7.14,13.0,50
42,28,14,33.33,10.41,9.43,10.86,12.21,8.26,50
37,29,8,21.62,11.05,9.09,9.85,16.2,11.47,50
28,25,3,10.71,9.3,6.73,8.35,10.81,11.78,50
35,26,9,25.71,8.95,5.81,11.24,10.8,9.05,50
38,26,12,31.58,11.52,9.75,11.14,15.03,10.66,50
40,33,7,17.5,9.11,7.71,10.52,10.05,8.46,50
28,21,7,25.0,9.89,11.15,7.88,9.93,10.38,50
42,26,16,38.1,10.59,8.87,10.47,12.69,13.38,50
37,30,7,18.92,9.4,7.83,9.39,8.53,13.48,50
44,29,15,34.09,9.72,8.97,10.27,10.99,9.03,50
39,33,6,15.38,10.58,9.69,9.99,10.49,13.41,50
34,27,7,20.59,10.33,7.34,11.34,13.77,8.34,50
41,24,17,41.46,9.96,8.66,9.18,14.11,10.18,50
48,34,14,29.17,10.69,11.62,8.77,10.84,10.59,50
44,29,15,34.09,12.2,13.32,10.22,13.55,13.37,50
36,20,16,44.44,8.99,6.27,9.84,11.52,10.27,50
40,23,17,42.5,10.39,7.34,13.73,12.58,12.1,50
40,30,10,25.0,9.16,7.45,10.46,10.07,9.82,50
43,23,20,46.51,10.39,9.24,12.36,9.86,11.28,50
39,27,12,30.77,10.17,8.66,11.77,9.68,11.05,50
44,17,27,61.36,11.14,11.35,10.4,14.49,8.62,50
45,26,19,42.22,8.84,8.03,10.82,5.84,9.18,50
47,26,21,44.68,9.98,9.8,11.54,7.92,13.67,50
37,25,12,32.43,9.45,9.07,8.74,8.29,14.61,50
33,24,9,27.27,10.36,8.02,11.12,11.53,10.16,50
34,28,6,17.65,11.44,9.09,12.18,14.49,10.53,50
34,31,3,8.82,9.32,8.35,7.22,12.65,11.4,50
44,24,20,45.45,10.03,8.88,10.39,12.93,6.73,50
43,28,15,34.88,9.93,8.15,12.48,9.47,0,50
38,25,13,34.21,12.11,10.76,12.57,11.25,15.45,50
41,31,10,24.39,9.77,9.11,10.85,8.47,9.78,50
45,33,12,26.67,9.97,9.61,8.07,11.31,10.94,50
31,26,5,16.13,8.96,10.1,8.39,8.72,7.76,50
36,24,12,33.33,10.45,7.9,9.52,10.36,15.43,50
44,26,18,40.91,9.52,9.74,10.22,8.6,8.16,50
46,25,21,45.65,10.86,10.99,9.85,14.58,9.5,50
